TE	tissue	strainTE	effect	strainBreakpoint	epigeneticEffect	histone.x	spread	average	frequency	problem	threshold	histone
2L_10062012_10062012_I-element	gut	JUT-011	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10062012_10062012_I-element	gut	JUT-011	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10062012_10062012_I-element	gut	JUT-011	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10062012_10062012_I-element	head	JUT-011	increment	MUN-016	1	H3K9me3	1	49.235	1	N	threshold=1	H3K9me3
2L_10062012_10062012_I-element	head	JUT-011	increment	SLA-001	1	H3K9me3	1	20.847	1	N	threshold=1	H3K9me3
2L_10062012_10062012_I-element	head	JUT-011	increment	TOM-007	1	H3K9me3	1	11.786	1	N	threshold=1	H3K9me3
2L_10062012_10062012_I-element	head	JUT-011	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10062012_10062012_I-element	head	JUT-011	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10062012_10062012_I-element	head	JUT-011	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10062012_10062012_I-element	ovary	JUT-011	increment	AKA-017	1	H3K9me3	4	464.485	1	N	consistent	H3K9me3
2L_10062012_10062012_I-element	ovary	JUT-011	increment	MUN-016	1	H3K9me3	20	352.159	1	N	consistent	H3K9me3
2L_10062012_10062012_I-element	ovary	JUT-011	increment	SLA-001	1	H3K9me3	2	304.266	1	N	consistent	H3K9me3
2L_10062012_10062012_I-element	ovary	JUT-011	increment	TOM-007	1	H3K9me3	4	310.15	1	N	consistent	H3K9me3
2L_10101375_10101375_H	head	TOM-007	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10101375_10101375_H	head	TOM-007	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10101375_10101375_H	head	TOM-007	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10101375_10101375_H	ovary	TOM-007	increment	AKA-017	1	H3K9me3	3	31.009	1	N	threshold=1	H3K9me3
2L_10101375_10101375_H	ovary	TOM-007	increment	JUT-011	1	H3K9me3	2	37.887	1	N	threshold=1	H3K9me3
2L_10101375_10101375_H	ovary	TOM-007	increment	MUN-016	1	H3K9me3	3	51.82	1	N	threshold=1	H3K9me3
2L_10174939_10174939_H	head	SLA-001	depletion	AKA-017	1	H3K9me3	1	-23.581	1	N	threshold=1	H3K9me3
2L_10174939_10174939_H	head	SLA-001	depletion	JUT-011	1	H3K9me3	1	-28.33	1	N	threshold=1	H3K9me3
2L_10174939_10174939_H	head	SLA-001	depletion	TOM-007	1	H3K9me3	1	-21.71	1	N	threshold=1	H3K9me3
2L_10174939_10174939_H	head	SLA-001	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10174939_10174939_H	head	SLA-001	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10174939_10174939_H	head	SLA-001	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10174939_10174939_H	ovary	SLA-001	depletion	AKA-017	1	H3K27ac	1	-15.906	1	N	threshold=1	H3K27ac
2L_10174939_10174939_H	ovary	SLA-001	depletion	JUT-011	1	H3K27ac	1	-11.495	1	N	threshold=1	H3K27ac
2L_10174939_10174939_H	ovary	SLA-001	depletion	MUN-016	1	H3K27ac	1	-8.426	1	N	threshold=1	H3K27ac
2L_1022623_1022623_roo	gut	AKA-017	increment	JUT-011	1	H3K27ac	1	56.751	1	N	consistent	H3K27ac
2L_1022623_1022623_roo	gut	AKA-017	increment	MUN-016	1	H3K27ac	12	94.215	1	N	consistent	H3K27ac
2L_1022623_1022623_roo	gut	AKA-017	increment	SLA-001	1	H3K27ac	2	49.322	1	N	consistent	H3K27ac
2L_1022623_1022623_roo	gut	AKA-017	increment	TOM-007	1	H3K27ac	6	58.222	1	N	consistent	H3K27ac
2L_1022623_1022623_roo	head	AKA-017	increment	JUT-011	1	H3K9me3	1	11.232	1	N	threshold=1	H3K9me3
2L_1022623_1022623_roo	head	AKA-017	increment	MUN-016	1	H3K9me3	1	24.729	1	N	threshold=1	H3K9me3
2L_1022623_1022623_roo	head	AKA-017	increment	TOM-007	1	H3K9me3	2	24.669	1	N	threshold=1	H3K9me3
2L_1022623_1022623_roo	head	AKA-017	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_1022623_1022623_roo	head	AKA-017	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_1022623_1022623_roo	head	AKA-017	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_1022623_1022623_roo	head	AKA-017	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_1022623_1022623_roo	ovary	AKA-017	depletion	JUT-011	1	H3K27ac	2	-17.949	1	N	threshold=1	H3K27ac
2L_1022623_1022623_roo	ovary	AKA-017	depletion	SLA-001	1	H3K27ac	1	-25.283	1	N	threshold=1	H3K27ac
2L_1022623_1022623_roo	ovary	AKA-017	depletion	TOM-007	1	H3K27ac	1	-22.879	1	N	threshold=1	H3K27ac
2L_1049728_1049728_roo	gut	JUT-011	increment	MUN-016	1	H3K9me3	2	84.622	1	N	threshold=1	H3K9me3
2L_1049728_1049728_roo	gut	JUT-011	increment	SLA-001	1	H3K9me3	2	47.901	1	N	threshold=1	H3K9me3
2L_1049728_1049728_roo	gut	JUT-011	increment	TOM-007	1	H3K9me3	2	41.825	1	N	threshold=1	H3K9me3
2L_1049728_1049728_roo	gut	JUT-011	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_1049728_1049728_roo	gut	JUT-011	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_1049728_1049728_roo	gut	JUT-011	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_1049728_1049728_roo	gut	JUT-011	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_1049728_1049728_roo	head	JUT-011	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_1049728_1049728_roo	head	JUT-011	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_1049728_1049728_roo	head	JUT-011	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_1049728_1049728_roo	head	JUT-011	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_1049728_1049728_roo	head	JUT-011	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_1049728_1049728_roo	head	JUT-011	noEnrichment	MUN-016	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_1049728_1049728_roo	head	JUT-011	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_1049728_1049728_roo	head	JUT-011	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_1049728_1049728_roo	ovary	JUT-011	increment	AKA-017	1	H3K27ac	4	52.312	1	N	threshold=1	bivalent
2L_1049728_1049728_roo	ovary	JUT-011	increment	MUN-016	1	H3K27ac	4	66.446	1	N	threshold=1	bivalent
2L_1049728_1049728_roo	ovary	JUT-011	increment	TOM-007	1	H3K27ac	3	67.934	1	N	threshold=1	bivalent
2L_1049728_1049728_roo	ovary	JUT-011	increment	AKA-017	1	H3K9me3	5	85.283	1	N	threshold=1	bivalent
2L_1049728_1049728_roo	ovary	JUT-011	increment	MUN-016	1	H3K9me3	12	77.769	1	N	threshold=1	bivalent
2L_1049728_1049728_roo	ovary	JUT-011	increment	TOM-007	1	H3K9me3	4	62.408	1	N	threshold=1	bivalent
2L_10506280_10506280_Quasimodo	gut	TOM-007	increment	AKA-017	1	H3K9me3	1	66.974	1	N	consistent	H3K9me3
2L_10506280_10506280_Quasimodo	gut	TOM-007	increment	JUT-011	1	H3K9me3	1	46.364	1	N	consistent	H3K9me3
2L_10506280_10506280_Quasimodo	gut	TOM-007	increment	MUN-016	1	H3K9me3	1	55.418	1	N	consistent	H3K9me3
2L_10506280_10506280_Quasimodo	gut	TOM-007	increment	SLA-001	1	H3K9me3	1	35.22	1	N	consistent	H3K9me3
2L_10506280_10506280_Quasimodo	gut	TOM-007	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10506280_10506280_Quasimodo	gut	TOM-007	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10506280_10506280_Quasimodo	gut	TOM-007	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10506280_10506280_Quasimodo	head	TOM-007	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506280_10506280_Quasimodo	head	TOM-007	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506280_10506280_Quasimodo	head	TOM-007	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506280_10506280_Quasimodo	head	TOM-007	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506280_10506280_Quasimodo	ovary	TOM-007	increment	AKA-017	1	H3K9me3	1	530.362	1	N	consistent	H3K9me3
2L_10506280_10506280_Quasimodo	ovary	TOM-007	increment	JUT-011	1	H3K9me3	1	386.006	1	N	consistent	H3K9me3
2L_10506280_10506280_Quasimodo	ovary	TOM-007	increment	MUN-016	1	H3K9me3	1	579.707	1	N	consistent	H3K9me3
2L_10506280_10506280_Quasimodo	ovary	TOM-007	increment	SLA-001	1	H3K9me3	1	473.751	1	N	consistent	H3K9me3
2L_10506280_10506280_Quasimodo	ovary	TOM-007	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506280_10506280_Quasimodo	ovary	TOM-007	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506280_10506280_Quasimodo	ovary	TOM-007	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506280_10506280_Quasimodo	ovary	TOM-007	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506775_10506784_P-element	gut	TOM-007	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506775_10506784_P-element	gut	TOM-007	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506775_10506784_P-element	gut	TOM-007	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506775_10506784_P-element	gut	TOM-007	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506775_10506784_P-element	gut	TOM-007	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10506775_10506784_P-element	gut	TOM-007	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10506775_10506784_P-element	gut	TOM-007	noEnrichment	MUN-016	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10506775_10506784_P-element	gut	TOM-007	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10506775_10506784_P-element	head	TOM-007	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506775_10506784_P-element	head	TOM-007	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506775_10506784_P-element	head	TOM-007	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506775_10506784_P-element	head	TOM-007	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506775_10506784_P-element	head	TOM-007	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10506775_10506784_P-element	head	TOM-007	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10506775_10506784_P-element	head	TOM-007	noEnrichment	MUN-016	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10506775_10506784_P-element	head	TOM-007	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	consistent_noEnrichment	H3K9me3
2L_10506775_10506784_P-element	ovary	TOM-007	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506775_10506784_P-element	ovary	TOM-007	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506775_10506784_P-element	ovary	TOM-007	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10506775_10506784_P-element	ovary	TOM-007	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10553746_10553751_Quasimodo	head	TOM-007	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10553746_10553751_Quasimodo	head	TOM-007	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10553746_10553751_Quasimodo	head	TOM-007	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10553746_10553751_Quasimodo	head	TOM-007	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10553746_10553751_Quasimodo	head	TOM-007	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10553746_10553751_Quasimodo	head	TOM-007	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10553746_10553751_Quasimodo	head	TOM-007	noEnrichment	SLA-001	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10553746_10553751_Quasimodo	ovary	TOM-007	increment	AKA-017	1	H3K27ac	1	27.378	1	N	threshold=1	bivalent
2L_10553746_10553751_Quasimodo	ovary	TOM-007	increment	MUN-016	1	H3K27ac	1	13.366	1	N	threshold=1	bivalent
2L_10553746_10553751_Quasimodo	ovary	TOM-007	increment	SLA-001	1	H3K27ac	1	32.285	1	N	threshold=1	bivalent
2L_10553746_10553751_Quasimodo	ovary	TOM-007	increment	AKA-017	1	H3K9me3	4	100.736	1	N	consistent	bivalent
2L_10553746_10553751_Quasimodo	ovary	TOM-007	increment	JUT-011	1	H3K9me3	1	45.8	1	N	consistent	bivalent
2L_10553746_10553751_Quasimodo	ovary	TOM-007	increment	MUN-016	1	H3K9me3	1	39.144	1	N	consistent	bivalent
2L_10553746_10553751_Quasimodo	ovary	TOM-007	increment	SLA-001	1	H3K9me3	2	90.057	1	N	consistent	bivalent
2L_10592022_10592022_mdg1	gut	SLA-001	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10592022_10592022_mdg1	gut	SLA-001	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10592022_10592022_mdg1	gut	SLA-001	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10592022_10592022_mdg1	gut	SLA-001	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10592022_10592022_mdg1	gut	SLA-001	noEnrichment	JUT-011	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10592022_10592022_mdg1	gut	SLA-001	noEnrichment	MUN-016	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10592022_10592022_mdg1	gut	SLA-001	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10592022_10592022_mdg1	head	SLA-001	depletion	AKA-017	1	H3K9me3	2	-8.621	1	N	consistent	H3K9me3
2L_10592022_10592022_mdg1	head	SLA-001	depletion	JUT-011	1	H3K9me3	3	-18.078	1	N	consistent	H3K9me3
2L_10592022_10592022_mdg1	head	SLA-001	depletion	MUN-016	1	H3K9me3	1	-7.921	1	N	consistent	H3K9me3
2L_10592022_10592022_mdg1	head	SLA-001	depletion	TOM-007	1	H3K9me3	2	-6.814	1	N	consistent	H3K9me3
2L_10592022_10592022_mdg1	head	SLA-001	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10592022_10592022_mdg1	head	SLA-001	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10592022_10592022_mdg1	head	SLA-001	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10592022_10592022_mdg1	head	SLA-001	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	consistent_noEnrichment	H3K27ac
2L_10592022_10592022_mdg1	ovary	SLA-001	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10592022_10592022_mdg1	ovary	SLA-001	noEnrichment	JUT-011	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10592022_10592022_mdg1	ovary	SLA-001	noEnrichment	MUN-016	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10592022_10592022_mdg1	ovary	SLA-001	noEnrichment	AKA-017	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10592022_10592022_mdg1	ovary	SLA-001	noEnrichment	MUN-016	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10592022_10592022_mdg1	ovary	SLA-001	noEnrichment	TOM-007	0	H3K9me3	0	0	1	N	threshold=1_noEnrichment	H3K9me3
2L_10626527_10626527_Burdock	gut	JUT-011	noEnrichment	AKA-017	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10626527_10626527_Burdock	gut	JUT-011	noEnrichment	SLA-001	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
2L_10626527_10626527_Burdock	gut	JUT-011	noEnrichment	TOM-007	0	H3K27ac	0	0	1	N	threshold=1_noEnrichment	H3K27ac
